ts,battery_level_pct
1467104576,100
1467104576,100
1467105072,100
1467105072,100
1467105140,100
1467105140,100
1467105142,100
1467105180,100
1467105182,100
1467105672,100
1467105672,100
1467105869,100
1467105869,100
1467105869,100
1467105870,100
1467105870,100
1467105870,100
1467106272,100
1467106272,100
1467106552,100
1467106553,100
1467106634,100
1467106634,100
1467106634,100
1467106645,99
1467106651,99
1467106665,99
1467106665,99
1467106670,99
1467106671,99
1467106725,99
1467106727,99
1467106872,99
1467106873,99
1467106876,99
1467106876,99
1467106877,99
1467106910,99
1467106911,99
1467106942,99
1467106943,99
1467106944,99
1467106980,99
1467106982,99
1467107004,99
1467107005,99
1467107466,99
1467107466,99
1467107467,99
1467107472,99
1467107472,99
1467107472,99
1467107550,99
1467107551,99
1467107551,99
1467107551,99
1467107551,99
1467107551,99
1467108072,99
1467108073,99
1467108073,99
1467108176,99
1467108176,99
1467108672,99
1467108672,99
1467108745,99
1467108745,99
1467108746,99
1467108781,99
1467108783,99
1467108834,99
1467108834,99
1467108924,99
1467108926,99
1467109046,99
1467109048,99
1467109232,99
1467109233,99
1467109233,99
1467109233,99
1467109272,99
1467109273,99
1467109872,99
1467109872,99
1467110473,99
1467110473,99
1467110546,99
1467110547,99
1467110548,99
1467110581,99
1467110583,99
1467110638,99
1467110638,99
1467110652,99
1467110652,99
1467110655,99
1467110656,99
1467110661,99
1467110662,99
1467110914,99
1467110914,99
1467110915,99
1467110915,99
1467110915,99
1467110915,99
1467111071,99
1467111072,99
1467111672,99
1467111673,99
1467111674,99
1467111920,99
1467111920,99
1467111922,99
1467112272,99
1467112272,99
1467112349,99
1467112349,99
1467112350,99
1467112382,99
1467112384,99
1467112596,99
1467112597,99
1467112597,99
1467112597,99
1467112597,99
1467112597,99
1467112871,99
1467112871,99
1467113030,99
1467113030,99
1467113120,99
1467113122,99
1467113473,99
1467113473,99
1467113517,99
1467113518,99
1467113518,99
1467113520,99
1467113520,99
1467113520,99
1467113579,99
1467113580,99
1467113758,99
1467113758,99
1467113758,99
1467113760,99
1467113761,99
1467113833,99
1467113834,99
1467114067,99
1467114067,99
1467114072,99
1467114072,99
1467114096,99
1467114098,99
1467114150,99
1467114150,99
1467114150,99
1467114150,99
1467114151,99
1467114210,99
1467114211,99
1467114277,99
1467114277,99
1467114277,99
1467114278,99
1467114278,99
1467114278,99
1467114278,99
1467114278,99
1467114278,99
1467114278,99
1467114672,99
1467114672,99
1467114672,99
1467115207,99
1467115207,99
1467115273,99
