current,start_time,end_time
-4.12E-01,,
-4.13E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.12E-01,,
-4.13E-01,,
-4.13E-01,,
-4.15E-01,,
-4.12E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.12E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.14E-01,,
-4.13E-01,,
-4.13E-01,,
-4.12E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.12E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.07E-01,,
-4.15E-01,,
-4.16E-01,,
-4.16E-01,,
-4.16E-01,,
-4.14E-01,,
-4.13E-01,,
-4.13E-01,,
-4.15E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.13E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.13E-01,,
-4.36E-01,,
-4.14E-01,,
-4.14E-01,,
-4.19E-01,,
-4.15E-01,,
-4.14E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.13E-01,,
-4.15E-01,,
-4.14E-01,,
-4.15E-01,,
-4.16E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.13E-01,,
-4.13E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.14E-01,,
-4.16E-01,,
-4.14E-01,,
-4.15E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
-4.13E-01,,
-4.14E-01,,
